"beta1","beta2"
0.01496383703115412,0.02772271008003113
0.028621507872110333,0.014684476825741285
0.03847683008721212,0.005691615797353852
0.029385081005430348,0.014502728077320651
0.004019393550504115,0.04454038272533553
0.028347781539568736,0.01577693492017217
0.01755090898037005,0.025033138317203493
0.038332669940222906,0.006315623414801714
0.018802433902044776,0.024043992866514617
0.0420737854385827,0.006711357573973599
0.009126633251529266,0.030600944830774933
0.03866102753181674,0.008812095088257263
0.030363058222345,0.014519502732078726
0.020611830345644462,0.02121233606734979
0.004632802115546416,0.034543174313604284
0.014140014686715434,0.02658225698711162
0.010539403217344138,0.03135999495852501
0.01733236324829346,0.027944201158996654
0.015582081391630729,0.02726854977403078
0.006664882796221468,0.040542067323392154
0.0103400724077337,0.031118007447554035
0.004964028658549674,0.03180050369435455
0.007071680038125516,0.03111864128003928
0.008978266497890817,0.03163832166667981
0.024138550831466758,0.020229662911317777
0.01242293484022734,0.03429342891086974
0.011143095940539723,0.028864668144992583
0.02345768204539482,0.021300124319294754
0.038057490747049484,0.008712836142632402
0.022041213875420306,0.017984187981071834
0.006870397559925858,0.03982284035286
0.025686548647398607,0.01713359628120168
0.021292415594730205,0.022076434710209075
0.03903987997837585,0.0035310890099993957
0.0034832468693449256,0.04491222934665732
0.021382422517448634,0.019951625958012444
0.037818636499059366,0.005232839615312763
0.000258614571263972,0.03780142948907362
0.018735035424645514,0.02385204337543237
0.00724442133126083,0.03951633210185264
0.007286762777879361,0.033026709325497776
0.018376575461587292,0.024302751301648225
0.034906671753430984,0.0073122482291247334
0.017585261344848026,0.026872847112196476
0.04122654752963868,0.007742151843785114
0.004396176014932649,0.03179200389260702
0.017124770522015994,0.02766253593997367
0.014267730932028341,0.02783009222229839
0.007950199407693745,0.041274702358053784
0.01336005787772641,0.027697858550436372
0.024008507054162045,0.02089112057069972
0.01650235230597713,0.02718702817431094
0.00999483384980479,0.038283265312737805
0.014595550397454072,0.0319255910542439
0.004165862859223172,0.036246288728884295
0.016551660365660206,0.03229118252644177
0.012497195095376971,0.02819874209665949
0.0356420150082013,0.005460733638712494
0.029337725548326102,0.01696230058074998
0.016786094425432926,0.028525793471411136
0.02506804454446248,0.014173344775436726
0.012150115806303737,0.03504402758195109
0.030132409054223024,0.008601971824081633
0.019471648020786235,0.022566732799239556
0.011777325312711626,0.03525489071118802
